Date,GameID,Name,Team,OPP,Home,Away,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
20171017,20171017-Bos-Cle,Jaylen Brown,Bos,Cle,1,0,39.36,11,23,.478,2,9,.222,1,2,.500,1,5,6,0,2,0,3,5,25,-5
20171017,20171017-Bos-Cle,Kyrie Irving,Bos,Cle,1,0,39.21,8,17,.471,4,9,.444,2,2,1.000,2,2,4,10,3,0,2,4,22,+1
20171017,20171017-Bos-Cle,Jayson Tatum,Bos,Cle,1,0,36.32,5,12,.417,1,2,.500,3,3,1.000,4,6,10,3,0,0,1,4,14,+8
20171017,20171017-Bos-Cle,Al Horford,Bos,Cle,1,0,32.07,2,7,.286,0,2,.000,5,7,.714,0,7,7,5,0,1,0,2,9,+8
20171017,20171017-Bos-Cle,Gordon Hayward,Bos,Cle,1,0,5.15,1,2,.500,0,1,.000,0,0,0,0,1,1,0,0,0,0,1,2,+3
20171017,20171017-Bos-Cle,Marcus Smart,Bos,Cle,1,0,35.03,5,16,.313,0,4,.000,2,3,.667,0,9,9,3,2,2,2,2,12,-8
20171017,20171017-Bos-Cle,Terry Rozier,Bos,Cle,1,0,19.32,2,6,.333,1,3,.333,4,4,1.000,0,3,3,2,4,0,0,0,9,+2
20171017,20171017-Bos-Cle,Aron Baynes,Bos,Cle,1,0,19.06,2,2,1.000,0,0,0,2,4,.500,2,3,5,1,0,1,2,5,6,-14
20171017,20171017-Bos-Cle,Semi Ojeleye,Bos,Cle,1,0,8.39,0,2,.000,0,1,.000,0,0,0,0,0,0,0,0,0,0,1,0,-12
20171017,20171017-Bos-Cle,Shane Larkin,Bos,Cle,1,0,4.49,0,1,.000,0,1,.000,0,0,0,0,1,1,0,0,0,0,0,0,+2
20171017,20171017-Bos-Cle,Daniel Theis,Bos,Cle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20171017,20171017-Bos-Cle,Abdel Nader,Bos,Cle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20171017,20171017-Bos-Cle,LeBron James,Cle,Bos,0,1,9.19,2,3,.667,0,0,0,0,0,0,0,4,4,4,0,1,0,0,4,+3
20171017,20171017-Bos-Cle,Jae Crowder,Cle,Bos,0,1,9.19,1,2,.500,0,1,.000,2,2,1.000,1,1,2,0,0,0,0,0,4,+3
20171017,20171017-Bos-Cle,Derrick Rose,Cle,Bos,0,1,7.34,2,5,.400,0,1,.000,0,0,0,0,2,2,0,0,0,1,0,4,-2
20171017,20171017-Bos-Cle,Dwyane Wade,Cle,Bos,0,1,8.31,2,3,.667,0,0,0,1,1,1.000,0,0,0,1,0,0,1,0,5,+4
