Date,GameID,Name,Team,OPP,Home,Away,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-
20161025,20161025-NYK-Cle,Kristaps Porziņģis,NYK,Cle,1,0,32.48,5,13,.385,3,5,.600,3,6,.500,4,3,7,0,1,2,2,5,16,-21
20161025,20161025-NYK-Cle,Carmelo Anthony,NYK,Cle,1,0,30.05,8,18,.444,1,4,.250,2,2,1.000,1,4,5,3,1,0,4,5,19,-19
20161025,20161025-NYK-Cle,Derrick Rose,NYK,Cle,1,0,29.35,7,17,.412,1,2,.500,2,2,1.000,2,1,3,1,0,1,4,1,17,-19
20161025,20161025-NYK-Cle,Courtney Lee,NYK,Cle,1,0,19.37,0,5,.000,0,2,.000,0,0,0,1,2,3,0,0,1,2,1,0,-19
20161025,20161025-NYK-Cle,Joakim Noah,NYK,Cle,1,0,19.31,0,1,.000,0,0,0,0,0,0,1,5,6,3,1,0,1,1,0,-1
20161025,20161025-NYK-Cle,Justin Holiday,NYK,Cle,1,0,26.27,2,7,.286,2,3,.667,2,2,1.000,1,5,6,2,1,0,0,0,8,-14
20161025,20161025-NYK-Cle,Brandon Jennings,NYK,Cle,1,0,21.14,1,7,.143,0,4,.000,5,6,.833,1,2,3,5,0,0,1,2,7,-14
20161025,20161025-NYK-Cle,Lance Thomas,NYK,Cle,1,0,16.37,1,4,.250,0,0,0,0,0,0,0,1,1,1,2,0,1,2,2,-11
20161025,20161025-NYK-Cle,Kyle O'Quinn,NYK,Cle,1,0,15.24,1,3,.333,0,2,.000,0,0,0,1,4,5,1,0,2,1,3,2,-10
20161025,20161025-NYK-Cle,Willy Hernangómez,NYK,Cle,1,0,9.26,2,3,.667,0,0,0,0,0,0,1,0,1,0,0,0,1,1,4,-3
20161025,20161025-NYK-Cle,Mindaugas Kuzminskas,NYK,Cle,1,0,9.14,3,5,.600,1,3,.333,0,0,0,0,1,1,0,0,0,0,0,7,-4
20161025,20161025-NYK-Cle,Ron Baker,NYK,Cle,1,0,6.44,2,3,.667,1,1,1.000,0,0,0,0,1,1,0,0,0,0,0,5,-5
20161025,20161025-NYK-Cle,Sasha Vujačić,NYK,Cle,1,0,3.18,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,1,1,1,-5
20161025,20161025-NYK-Cle,LeBron James,Cle,NYK,0,1,9.05,3,5,.600,0,2,.000,0,0,0,2,2,4,5,0,0,0,1,6,+6
20161025,20161025-NYK-Cle,Kyrie Irving,Cle,NYK,0,1,9.05,2,7,.286,0,1,.000,1,1,1.000,1,0,1,1,1,0,0,0,5,+6
20161025,20161025-NYK-Cle,J.R. Smith,Cle,NYK,0,1,7.35,2,5,.400,1,3,.333,0,0,0,0,1,1,0,0,0,0,0,5,+3
20161025,20161025-NYK-Cle,Kevin Love,Cle,NYK,0,1,9.39,3,8,.375,1,2,.500,3,5,.600,0,3,3,1,1,0,0,0,10,+9
20161025,20161025-NYK-Cle,Tristan Thompson,Cle,NYK,0,1,11.19,0,1,.000,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,+7
20161025,20161025-NYK-Cle,Richard Jefferson,Cle,NYK,0,1,5.16,1,2,.500,0,1,.000,0,0,0,0,1,1,0,1,0,0,0,2,+5
20161025,20161025-NYK-Cle,Mike Dunleavy,Cle,NYK,0,1,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+7
20161025,20161025-NYK-Cle,Channing Frye,Cle,NYK,0,1,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,+3
20161025,20161025-NYK-Cle,Iman Shumpert,Cle,NYK,0,1,4.16,0,1,.000,0,1,.000,0,0,0,1,0,1,1,0,0,1,1,0,+4
20161025,20161025-Uta-Por,Rudy Gobert,Uta,Por,1,0,40.57,4,7,.571,0,0,0,4,4,1.000,4,10,14,2,0,2,3,3,12,+7
20161025,20161025-Uta-Por,George Hill,Uta,Por,1,0,38.45,7,18,.389,1,6,.167,4,4,1.000,0,2,2,6,2,1,1,2,19,+2
20161025,20161025-Uta-Por,Rodney Hood,Uta,Por,1,0,37.39,9,17,.529,3,7,.429,5,5,1.000,0,2,2,1,2,1,0,3,26,+5
20161025,20161025-Uta-Por,Boris Diaw,Uta,Por,1,0,32.10,1,8,.125,0,3,.000,0,0,0,1,2,3,0,0,0,1,5,2,+1
20161025,20161025-Uta-Por,Joe Johnson,Uta,Por,1,0,30.30,12,16,.750,3,4,.750,2,2,1.000,0,4,4,3,1,0,2,0,29,-2
20161025,20161025-Uta-Por,Trey Lyles,Uta,Por,1,0,17.55,2,6,.333,1,2,.500,0,0,0,0,2,2,2,0,0,3,0,5,-11
20161025,20161025-Uta-Por,Shelvin Mack,Uta,Por,1,0,14.48,2,5,.400,0,1,.000,0,0,0,0,1,1,4,2,0,0,1,4,-9
20161025,20161025-Uta-Por,Joe Ingles,Uta,Por,1,0,14.06,1,1,1.000,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,-9
20161025,20161025-Uta-Por,Dante Exum,Uta,Por,1,0,8.20,2,4,.500,0,1,.000,1,1,1.000,1,1,2,0,0,0,0,2,5,-18
20161025,20161025-Uta-Por,Jeff Withey,Uta,Por,1,0,4.51,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,-11
20161025,20161025-Uta-Por,Joel Bolomboy,Uta,Por,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20161025,20161025-Uta-Por,Derrick Favors,Uta,Por,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20161025,20161025-Uta-Por,Raul Neto,Uta,Por,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20161025,20161025-Uta-Por,Damian Lillard,Por,Uta,0,1,9.01,2,3,.667,1,1,1.000,2,2,1.000,0,1,1,2,0,0,0,1,7,+1
20161025,20161025-Uta-Por,CJ McCollum,Por,Uta,0,1,9.09,2,4,.500,1,1,1.000,0,0,0,0,0,0,1,1,0,1,1,5,-3
20161025,20161025-Uta-Por,Al-Farouq Aminu,Por,Uta,0,1,9.01,1,2,.500,1,1,1.000,0,0,0,0,0,0,0,0,0,0,0,3,+1
20161025,20161025-Uta-Por,Maurice Harkless,Por,Uta,0,1,6.10,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,-2
20161025,20161025-Uta-Por,Mason Plumlee,Por,Uta,0,1,7.25,1,3,.333,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,+1
20161025,20161025-Uta-Por,Allen Crabbe,Por,Uta,0,1,5.50,1,2,.500,1,1,1.000,0,0,0,0,1,1,1,0,0,0,0,3,+2
20161025,20161025-Uta-Por,Evan Turner,Por,Uta,0,1,5.50,0,2,.000,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,+2
20161025,20161025-Uta-Por,Ed Davis,Por,Uta,0,1,4.35,1,2,.500,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,-1
20161025,20161025-Uta-Por,Noah Vonleh,Por,Uta,0,1,2.59,2,2,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1
